id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
2095,2013,,,,,,,InfoBrasil,2
2096,2013,,,,,,,INFOCOMP (UFLA. Impresso),1
2097,2007,,,,,,,Infogeo,1
2098,2016,,,,,,,Informação &amp; Informação (UEL. Online),1
2099,2018,,,,,,,INFORMAÇÃO &amp; TECNOLOGIA (ITEC),1
2100,2018,,,,,,,INFORMAÇÃO &amp; TECNOLOGIA (ITEC),1
2101,2012,,,,,,,Informatics in Education,1
2102,2019,,,,,,,INFORMATION,1
2103,2019,,,,,,,INFORMATION,1
2104,2002,,,,,,,Information and Software Technology,1
2105,2017,,,,,,,Information and Software Technology,1
2106,2020,,,,,,,Information Fusion,1
2107,2011,,,,,,,Information Interaction Intelligence Journal,1
2108,2011,,,,,,,Information Processing &amp; Management,1
2109,2020,,,,,,,INFORMATION PROCESSING &amp; MANAGEMENT,1
2110,2018,,,,,,,"Information Processing and Management of Uncertainty in Knowledge-Based Systems. Theory and Foundations, Communications in Computer and Information Science.",2
2111,2015,,,,,,,Information Sciences,1
2112,2018,,,,,,,INFORMATION SCIENCES,1
2113,2012,,,,,,,INFORMATION SYSTEMS MANAGEMENT,1
2114,1995,,,,,,,Infosul´95 Feira e Congresso de Informática,2
2115,2000,,,,,,,Iniciação Científica - XII Salão - IX Feira,2
2116,2000,,,,,,,Iniciação Cientifica - XII Salão - XI Feira,2
2117,2000,,,,,,,Iniciação Científica -XII Salão - IX Feira,2
2118,2019,,,,,,,Inovação em Segurança Pública,3
2119,2002,,,,,,,"Intelligent Computing in the Petroleum Industry   ICPI 2002   Nov 25-26, 2002 Mexico City",2
2120,2004,,,,,,,INTERCOM 2004 - XXVII Congresso Brasileiro de Ciências da Comunicação,2
2121,2009,,,,,,,"Intercom Curitiba 2009 - Comunicação, Educação e Cultura na Era Digital",2
2122,2016,,,,,,,Intercom São Paulo - Anais de Trabalhos,2
2123,2012,,,,,,,Interface (Botucatu. Impresso),2
2124,2014,,,,,,,Interlocução de Saberes X,3
2125,2020,,,,,,,International Conference on Computational Processing of Portuguese (PROPOR),2
2126,2017,,,,,,,International Conference on Database and Expert Systems Applications,2
2127,2013,,,,,,,International Conference on Education and New Learning Technologies,2
2128,2017,,,,,,,International Conference on Enterprise Information Systems,2
2129,2020,,,,,,,International Conference on Enterprise Information Systems,2
