evento journal,cluster id,confidence
a ciencia e seus limites,50,0.4491793418896003
"a ciencia e seus limites - anais do ix simposio de ensino, pesquisa e extensao",50,0.4491793418896003
"a ciencia e seus limites - anais do ix simposio de ensino, pesquisa e extensao",50,0.4491793418896003
a data quality model in a data warehouse,646,1.0
a hybrid model for fraud detection on purchase orders,647,1.0
a model for textual entailment based on linguistic rules,648,1.0
a model for ubiquitous serious games development focused on problem based learning,649,1.0
a pesquisa e o respeito a diversidade,650,1.0
a proposal of dynamic content search in aubiquitous tourist guid,651,1.0
a transdiciplinaridade da pesquisa na universidade,652,1.0
a workflow-based environment to manage software-testing process executions,653,1.0
aapg,654,1.0
aapg annual meeting,655,1.0
abclingo: integrando jogos seamp769rios e mineracamp807aamp771o de dados educacionais no apoio ao letramento,656,1.0
abrapcorp: teorias e metodos de pesquisa em comunicacao organizacional e relacoes publicas: entre a tradicao e a inovacao,657,1.0
abstracts,51,0.4945310950279236
abstracts,51,0.4945310950279236
abstracts of xi international conference on enginnering and technology education,658,1.0
achi 2017,52,0.4945310950279236
achi 2017,52,0.4945310950279236
acm computing surveys,53,0.4945310950279236
acm computing surveys,53,0.4945310950279236
acm symposium on document engineering,659,1.0
acm transactions on accessible computing (taccess),660,1.0
acm transactions on information systems,661,1.0
acm transactions on internet technology,662,1.0
acm transactions on the web,54,0.49453108255427447
acm transactions on the web,54,0.49453108255427447
acm transactions on the web,54,0.49453108255427447
acta de resumenes de viii congreso argentino de ciencias de la computacion,663,1.0
actas do congreso internacional lusocom 2006,664,1.0
actas do xata2007,665,1.0
"actes de la 32eme conference sur la gestion de donnees - principes, technologies et applications",666,1.0
"actes du 36eme conference sur la gestion de donnees principes, technologies et applications",667,1.0
ad hoc networks,668,1.0
adis international conference on www/internet,669,1.0
advances and applications in bioinformatics and chemistry,670,1.0
advances in artificial intelligence - iberamia-sbia 2006,671,1.0
advances in bioinformatics and computational biology - lecture notes in computer science,672,1.0
advances in computer graphics,673,1.0
advances in databases and information systems,55,0.4945310950279236
advances in databases and information systems,55,0.4945310950279236
advances in edge computing: massive parallel processing and applications,674,1.0
"advances in fuzzy logic and technology 2017, advances in intelligent systems and computing",675,1.0
advances in geoinformatics,57,0.4945310950279236
advances in geoinformatics,57,0.4945310950279236
advances in information technology and applied computing,676,1.0
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing,56,0.4899554522419929
advances in intelligent systems and computing 7th international symposium on ambient intelligence (isami 2016),56,0.4420948137624552
"advances in logic, artificial intelligence and robotics",677,1.0
advances in wireless technologies and telecommunication,58,0.4945310950279236
advances in wireless technologies and telecommunication,58,0.4945310950279236
african journal of business management,678,1.0
agraria (recife. online),679,1.0
aguas subterraneas,59,0.4945310950279236
aguas subterraneas,59,0.4945310950279236
ah 2004: workshop proceedings,680,1.0
aianda da xxx jornada academica integrada - jai,681,1.0
alaic 2014,682,1.0
ale 2014 workbook,683,1.0
altas,60,0.49453108255427447
altas,60,0.49453108255427447
altas,60,0.49453108255427447
altas,60,0.49453108255427447
ambientur - anais do evento,61,0.4945310950279236
ambientur - anais do evento,61,0.4945310950279236
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
