ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
8488632251760640,Universidade Regional Integrada do Alto Uruguai e das Missões,2015,,Bolsista,
8488632251760640,Compasso,2015,2016,Estagiário,
6363039364181184,TCM Informatica,2000,,Analista de Sistemas,
6363039364181184,StudioD - Web e Mídia Digital,2001,2002,Analista de Sistemas,
6363039364181184,Jornal Gazeta Ilha Norte,1999,2000,Programador,
6363039364181184,Fundação de Ciência e Tecnologia do Estado de Santa Catarina,1999,1999,Administrador da Rede,
6363039364181184,Universidade Federal de Santa Catarina,1998,1999,Administrador de Banco de Dados,
6363039364181184,Faculdade Estácio de Sá de Santa Catarina,2006,,Professor,
8796491947184490,Universidade Federal do Rio Grande,2010,2010,Núcleo de Video Web Conferência,
8796491947184490,Universidade Federal do Rio Grande,2009,2009,Manutenção do Laboratório.,
8796491947184490,Universidade Federal do Rio Grande,2011,2011,Desenvolvimento framework.,
8796491947184490,Universidade Federal do Rio Grande,2011,2012,Projeto de Inclusão Digital em Rio Grande,
8796491947184490,Universidade Federal do Rio Grande,2018,2018,Trabalho voluntário - Professor,
8796491947184490,Universidade Federal do Rio Grande,2019,2019,Professor Substituto,
8796491947184490,Universidade Federal do Rio Grande,2019,,Pos-doutorado,
8796491947184490,WD House,2013,2013,Estagiário,
8796491947184490,Revista Jr de Iniciação Científica em Ciências Exatas e Engenharia - ICCEE,2013,2015,,
8796491947184490,Universidad Pública de Navarra,2015,2018,Bolsista de doutorado - CNPq,
6882914796754390,MicroWay Cursos e Treinamentos,2013,2013,Monitor,
6882914796754390,BRF - Brasil Foods,2015,2016,Assistente de Suporte,
6882914796754390,BRF - Brasil Foods,2016,2018,Assistente Administrativo,
6882914796754390,Serviço Nacional de Aprendizagem Comercial - SC,2019,,Professor Informática,
6882914796754390,Agromanager Sistemas,2019,,Programador Júnior,
